index,Job Title,Rating,Company Name,Location,Headquarters,Size (Employees),Founded,Type of ownership,Industry,Sector,Revenue (USD),Minimum Salary ($),Maximum Salary ($),Skills
156,Data Scientist,3.4,General Dynamics Information Technology,Vicksburg,Fairfax,'10000+,1996.0,Subsidiary or Business Segment,IT Services,Information Technology,10+ billion,101000.0,165000.0,"['linux', 'ai', 'clearance']"
157,Data Scientist,4.4,Offerpad,Chandler,Chandler,'201-500,2015.0,Company - Private,Real Estate,Real Estate,,101000.0,165000.0,"['python', 'sql', 'azure', 'excel', 'power bi', 'machine learning', 'ai', 'statistics', 'data science', 'regression']"
158,Data Analyst,4.0,Autodesk,San Francisco,San Rafael,'5001-10000,1982.0,Company - Public,Computer Hardware & Software,Information Technology,2-5 billion,101000.0,165000.0,"['python', 'sql', 'spark', 'hadoop', 'hive', 'ai', 'data science', 'data mining', 'big data']"
159,Data Analyst,4.2,Autodesk,San Francisco,Herndon,'5001-10000,1968.0,Company - Public,Research & Development,Business Services,1-2 billion,101000.0,165000.0,"['python', 'sql', 'java', 'sas', 'scala', 'spark', 'hadoop', 'hive', 'kafka', 'mapreduce', 'tableau', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'regression', 'clustering', 'data mining', 'big data', 'clearance']"
160,Data Engineer,3.5,Magna International Inc.,Birmingham,Aurora,'10000+,1957.0,Company - Public,,,10+ billion,101000.0,165000.0,"['python', 'sql', 'java', 'scala', 'c++', 'aws', 'spark', 'hadoop', 'nosql', 'kafka', 'cloud', 'ai', 'statistics', 'computer science', 'big data']"
161,Data Analyst,2.3,United BioSource,Blue Bell,Blue Bell,'1001-5000,2003.0,Other Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,101000.0,165000.0,"['sql', 'tableau', 'excel', 'qlik', 'computer science', 'data science']"
162,Data Scientist,3.4,Kelly,Chicago,Troy,'5001-10000,1946.0,Company - Public,Staffing & Outsourcing,Business Services,5-10 billion,101000.0,165000.0,"['scala', 'excel', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'computer science', 'data science']"
163,Machine Learning Engineer,3.3,Tempus Labs,Redwood City,Chicago,'501-1000,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,101000.0,165000.0,"['python', 'sql', 'java', 'linux', 'javascript', 'html', 'css', 'aws', 'docker', 'cloud', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'regression', 'clustering']"
164,Data Scientist,4.7,C3.ai,Redwood City,Redwood City,'201-500,2009.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,100-500 million,101000.0,165000.0,"['python', 'java', 'scala', 'javascript', 'mapreduce', 'excel', 'machine learning', 'ml', 'ai', 'deep learning', 'statistics', 'computer science', 'regression', 'data mining']"
165,Data Scientist,3.9,Quartet Health,New York,New York,'201-500,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,,101000.0,165000.0,"['python', 'scala', 'linux', 'hadoop', 'scikit-learn', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'computer science', 'data science', 'data mining']"
166,Data Analyst,3.3,Midland Credit Management,San Diego,San Diego,'1001-5000,1953.0,Subsidiary or Business Segment,Banks & Credit Unions,Finance,1-2 billion,101000.0,165000.0,"['python', 'sql', 'excel', 'ai']"
167,Machine Learning Engineer,3.3,Tempus Labs,Chicago,Chicago,'501-1000,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,101000.0,165000.0,"['python', 'sql', 'java', 'linux', 'javascript', 'html', 'css', 'aws', 'docker', 'cloud', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'deep learning', 'statistics', 'mathematics', 'data science', 'regression', 'clustering']"
168,Data Engineer,4.4,Resurgent Capital Services,Cincinnati,Greenville,'201-500,1998.0,Company - Private,Venture Capital & Private Equity,Finance,50-100 million,101000.0,165000.0,"['python', 'sql', 'aws', 'azure', 'etl', 'excel', 'ai']"
169,Data Scientist,3.7,PNNL,Richland,Richland,'1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",500 million-1 billion,56000.0,97000.0,"['excel', 'machine learning', 'ai', 'statistics', 'mathematics', 'data science', 'ts/sci']"
170,Data Scientist,3.5,Buckman,Memphis,Memphis,'1001-5000,1945.0,Company - Private,Chemical Manufacturing,Manufacturing,500 million-1 billion,56000.0,97000.0,"['python', 'sql', 'java', 'scala', 'c++', 'matlab', 'hadoop', 'hive', 'azure', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'time series', 'data mining']"
171,Machine Learning Engineer,3.6,Buckman,Memphis,Arlington,'501-1000,1967.0,Nonprofit Organization,Federal Agencies,Government,50-100 million,56000.0,97000.0,"['python', 'tensorflow', 'pytorch', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'computer science', 'clearance', 'secret clearance']"
172,Data Scientist,3.8,Evidera,Bethesda,Bethesda,'501-1000,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,56000.0,97000.0,"['sas', 'excel', 'ai', 'statistics']"
173,Data Analyst,4.7,webfx.com,Harrisburg,Harrisburg,'201-500,1997.0,Company - Private,Advertising & Marketing,Business Services,25-50 million,56000.0,97000.0,"['html', 'excel', 'ml', 'ai', 'statistics']"
174,Data Scientist,3.5,Argo Group US,New York,Hamilton,'1001-5000,1948.0,Company - Public,Insurance Carriers,Insurance,1-2 billion,56000.0,97000.0,"['python', 'sql', 'aws', 'spark', 'hadoop', 'hive', 'tensorflow', 'pytorch', 'scikit-learn', 'keras', 'ml', 'ai', 'nlp', 'statistics', 'mathematics', 'computer science', 'data science', 'regression']"
175,Data Scientist,3.3,BWX Technologies,Oak Ridge,Lynchburg,'5001-10000,1850.0,Company - Public,Aerospace & Defense,Aerospace & Defense,500 million-1 billion,56000.0,97000.0,"['python', 'c++', 'tensorflow', 'pytorch', 'keras', 'opencv', 'ai', 'deep learning', 'mathematics', 'computer science', 'data science', 'security clearance', 'clearance']"
176,Data Analyst,3.9,Life360,San Francisco,San Francisco,'51-200,2008.0,Company - Public,Internet,Information Technology,,56000.0,97000.0,"['python', 'sql', 'tableau', 'ai', 'statistics']"
177,Data Scientist,3.7,MassMutual,Boston,Springfield,'5001-10000,1851.0,Company - Private,Insurance Carriers,Insurance,10+ billion,56000.0,97000.0,"['python', 'sql', 'java', 'javascript', 'html', 'css', 'aws', 'spark', 'hadoop', 'nosql', 'scikit-learn', 'machine learning', 'ml', 'ai', 'natural language processing', 'statistics', 'mathematics', 'computer science', 'data science']"
178,Data Engineer,3.9,Natera,San Carlos,San Carlos,'501-1000,2004.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,56000.0,97000.0,"['python', 'matlab', 'aws', 'excel', 'ai', 'statistics']"
179,Data Scientist,4.0,Genentech,South San Francisco,South San Francisco,'10000+,1976.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,56000.0,97000.0,"['python', 'sas', 'aws', 'gcp', 'excel', 'machine learning', 'ai', 'deep learning', 'statistics', 'data science']"
180,Data Scientist,4.2,Ntrepid,Herndon,Herndon,'201-500,2010.0,Company - Private,IT Services,Information Technology,50-100 million,56000.0,97000.0,"['python', 'sql', 'java', 'c++', 'javascript', 'matlab', 'julia', 'nosql', 'machine learning', 'ai', 'security clearance', 'clearance']"
181,Data Scientist,3.6,Constant Contact,Waltham,Waltham,'Unknown,1995.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,56000.0,97000.0,"['python', 'scala', 'aws', 'spark', 'hadoop', 'cloud', 'excel', 'machine learning', 'ai', 'data science', 'regression', 'clustering', 'data mining', 'big data']"
182,Machine Learning Engineer,4.7,Sage Intacct,San Francisco,San Jose,'501-1000,1999.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,56000.0,97000.0,"['python', 'sql', 'cloud', 'scikit-learn', 'machine learning', 'ai', 'artificial intelligence', 'statistics', 'computer science', 'regression']"
183,Data Engineer,4.1,Shape Security,Santa Clara,Mountain View,'51-200,2011.0,Company - Private,IT Services,Information Technology,,56000.0,97000.0,"['python', 'java', 'aws', 'gcp', 'cloud', 'ai', 'big data']"
184,Data Scientist,4.0,AstraZeneca,Gaithersburg,Cambridge,'10000+,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,56000.0,97000.0,"['python', 'excel', 'machine learning', 'ai', 'mathematics', 'computer science', 'data science']"
185,Data Scientist,5.0,SkillSoniq,San Francisco,Jersey City,'Unknown,,Company - Public,,,,56000.0,97000.0,"['python', 'sql', 'cloud', 'machine learning', 'ai']"
186,Data Scientist,4.0,AstraZeneca,New York,Cambridge,'10000+,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,56000.0,97000.0,"['python', 'scala', 'machine learning', 'ai', 'mathematics', 'computer science', 'data science']"
187,Data Scientist,4.3,Joby Aviation,San Carlos,Santa Cruz,'51-200,,Company - Private,,,,56000.0,97000.0,"['python', 'sql', 'aws', 'spark', 'etl', 'kafka', 'excel', 'machine learning', 'ai', 'statistics', 'computer science', 'big data']"
188,Data Analyst,3.8,Cook Children's Health Care System,Fort Worth,Fort Worth,'5001-10000,1918.0,Nonprofit Organization,Health Care Services & Hospitals,Health Care,100-500 million,56000.0,97000.0,['ai']
189,Data Scientist,4.1,Upside Business Travel,Remote,Washington,'51-200,2015.0,Company - Private,Internet,Information Technology,,79000.0,106000.0,"['python', 'scala', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'data science']"
190,Data Scientist,3.4,Spectrum Communications and Consulting,Chicago,Chicago,'51-200,1992.0,Company - Private,Advertising & Marketing,Business Services,10-25 million,79000.0,106000.0,"['sql', 'sas', 'ai', 'artificial intelligence', 'statistics', 'mathematics', 'computer science', 'data science', 'data mining']"
191,Data Scientist,4.1,Coverent,McLean,McLean,'51-200,2008.0,Company - Private,Consulting,Business Services,10-25 million,79000.0,106000.0,"['python', 'excel', 'ai', 'data science', 'clearance', 'ts/sci']"
192,Machine Learning Engineer,3.7,Mteq,Fort Belvoir,Lorton,'501-1000,1954.0,Company - Public,Aerospace & Defense,Aerospace & Defense,100-500 million,79000.0,106000.0,"['python', 'matlab', 'machine learning', 'ml', 'ai', 'computer science', 'clearance']"
193,Data Engineer,4.4,Rocket Lawyer,San Francisco,San Francisco,'51-200,2008.0,Company - Private,Computer Hardware & Software,Information Technology,50-100 million,79000.0,106000.0,"['python', 'sql', 'java', 'linux', 'hadoop', 'hive', 'nosql', 'etl', 'kafka', 'excel', 'ai', 'computer science', 'big data']"
194,Data Scientist,3.9,Novartis,Cambridge,Basel,'10000+,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,79000.0,106000.0,"['ai', 'artificial intelligence', 'data science']"
195,Data Engineer,3.6,Alion Science & Technology,Linthicum Heights,Mc Lean,'1001-5000,2001.0,Company - Private,Research & Development,Business Services,1-2 billion,79000.0,106000.0,"['python', 'sql', 'java', 'aws', 'nosql', 'kafka', 'excel', 'ml', 'ai', 'statistics', 'computer science', 'big data', 'security clearance', 'clearance']"
196,Data Scientist,4.5,Novetta,Herndon,Mc Lean,'501-1000,2012.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,100-500 million,79000.0,106000.0,"['scala', 'cloud', 'excel', 'machine learning', 'ai', 'data science', 'security clearance', 'clearance', 'ts/sci']"
197,Data Analyst,3.7,Protolabs,Maple Plain,Maple Plain,'1001-5000,1999.0,Company - Public,Miscellaneous Manufacturing,Manufacturing,100-500 million,79000.0,106000.0,"['sql', 'sas', 'etl', 'ai', 'computer science']"
198,Data Scientist,5.0,Phoenix Operations Group,Annapolis Junction,Woodbine,'1-50,2011.0,Company - Private,IT Services,Information Technology,1-5 million,79000.0,106000.0,"['python', 'scala', 'linux', 'spark', 'cloud', 'machine learning', 'ai', 'artificial intelligence', 'predictive modeling', 'big data', 'security clearance', 'clearance', 'ts/sci']"
199,Data Scientist,3.4,Dice.com,Newton,Denver,'201-500,1990.0,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,100-500 million,79000.0,106000.0,"['python', 'sql', 'matlab', 'aws', 'nosql', 'excel', 'tensorflow', 'pytorch', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'deep learning', 'computer science', 'data science', 'time series']"
200,Data Scientist,3.5,Maxar Technologies,Herndon,Westminster,'5001-10000,,Company - Public,Aerospace & Defense,Aerospace & Defense,2-5 billion,79000.0,106000.0,"['python', 'sql', 'java', 'c++', 'linux', 'nosql', 'docker', 'cloud', 'excel', 'machine learning', 'ml', 'ai', 'computer science', 'data science', 'big data', 'ts/sci']"
201,Data Scientist,5.0,Phoenix Operations Group,Baltimore,Woodbine,'1-50,2011.0,Company - Private,IT Services,Information Technology,1-5 million,79000.0,106000.0,"['python', 'linux', 'spark', 'docker', 'kafka', 'cloud', 'machine learning', 'big data', 'security clearance', 'clearance', 'ts/sci']"
202,Data Scientist,4.8,Klaviyo,Boston,Boston,'201-500,2012.0,Company - Private,Computer Hardware & Software,Information Technology,,79000.0,106000.0,"['python', 'java', 'javascript', 'html', 'kafka', 'cloud', 'machine learning', 'ml', 'ai', 'statistics', 'computer science', 'data science']"
203,Machine Learning Engineer,4.0,AstraZeneca,Gaithersburg,Cambridge,'10000+,1913.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,79000.0,106000.0,"['python', 'sql', 'sas', 'scala', 'aws', 'spark', 'hadoop', 'azure', 'kubernetes', 'docker', 'cloud', 'machine learning', 'ml', 'ai', 'natural language processing', 'computer science', 'data science']"
204,Data Analyst,4.3,The Buffalo Group,Fort Belvoir,Reston,'501-1000,2010.0,Company - Private,IT Services,Information Technology,100-500 million,79000.0,106000.0,"['python', 'ai']"
205,Data Engineer,3.7,MassMutual,Boston,Springfield,'5001-10000,1851.0,Company - Private,Insurance Carriers,Insurance,10+ billion,79000.0,106000.0,"['sql', 'scala', 'spark', 'hadoop', 'nosql', 'kafka', 'cloud', 'excel', 'ai', 'computer science', 'big data']"
206,Machine Learning Engineer,3.3,Tempus Labs,Redwood City,Chicago,'501-1000,2015.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,79000.0,106000.0,"['python', 'sql', 'java', 'linux', 'javascript', 'html', 'css', 'aws', 'docker', 'cloud', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'regression', 'clustering']"
207,Data Analyst,3.1,Security Finance Corporation of Spartanburg,Spartanburg,Spartanburg,'1001-5000,1955.0,Company - Private,Lending,Finance,,79000.0,106000.0,"['sql', 'ai']"
208,Data Scientist,4.3,PulsePoint,New York,New York,'51-200,2011.0,Company - Private,Internet,Information Technology,100-500 million,71000.0,123000.0,"['python', 'spark', 'hadoop', 'hive', 'docker', 'machine learning', 'ml', 'ai', 'statistics', 'mathematics', 'computer science', 'data science', 'regression', 'big data']"
209,Data Scientist,4.2,LSQ,Orlando,Orlando,'51-200,1996.0,Company - Private,Investment Banking & Asset Management,Finance,100-500 million,71000.0,123000.0,"['python', 'sas', 'aws', 'spark', 'hadoop', 'kafka', 'cloud', 'tableau', 'excel', 'power bi', 'tensorflow', 'nltk', 'ai', 'statistics', 'computer science', 'data science', 'big data']"
210,Data Engineer,4.4,Resurgent Capital Services,Cincinnati,Greenville,'201-500,1998.0,Company - Private,Venture Capital & Private Equity,Finance,50-100 million,71000.0,123000.0,"['python', 'sql', 'aws', 'azure', 'etl', 'excel', 'ai']"
211,Data Scientist,3.6,Opendoor,San Francisco,San Francisco,'501-1000,2014.0,Company - Private,Real Estate,Real Estate,2-5 billion,71000.0,123000.0,"['python', 'sql', 'aws', 'ai', 'statistics', 'data science']"
212,Data Scientist,4.5,Global Data Management Inc,Hartford,Woodbridge,'51-200,2008.0,Company - Private,IT Services,Information Technology,5-10 million,71000.0,123000.0,"['python', 'sql', 'etl', 'machine learning', 'regression', 'clustering', 'data mining']"
213,Data Scientist,3.0,Photon Infotech,Chicago,Chennai,'1001-5000,1999.0,Company - Private,IT Services,Information Technology,100-500 million,71000.0,123000.0,"['python', 'sql', 'scala', 'spark', 'hadoop', 'hive', 'nosql', 'cloud', 'excel', 'machine learning', 'ml', 'ai', 'nlp', 'statistics', 'computer science', 'data science', 'regression', 'clustering', 'data mining', 'big data']"
214,Data Scientist,5.0,REE,United States,Tel Aviv-Yafo,'51-200,2018.0,Company - Private,Transportation Equipment Manufacturing,Manufacturing,,71000.0,123000.0,"['python', 'matlab', 'machine learning', 'ml', 'computer science', 'data science', 'big data']"
215,Machine Learning Engineer,3.6,Riverside Research Institute,Beavercreek,Arlington,'501-1000,1967.0,Nonprofit Organization,Federal Agencies,Government,50-100 million,71000.0,123000.0,"['python', 'tensorflow', 'pytorch', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'computer science', 'clearance', 'secret clearance']"
216,Data Analyst,3.6,T. Rowe Price,Baltimore,Baltimore,'5001-10000,1937.0,Company - Public,Investment Banking & Asset Management,Finance,2-5 billion,71000.0,123000.0,"['python', 'matlab', 'tableau', 'excel', 'qlik', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science', 'data science']"
217,Data Scientist,,"Encode, Inc.",Norfolk,Manalapan,'1-50,,Company - Private,IT Services,Information Technology,5-10 million,71000.0,123000.0,"['html', 'aws', 'excel', 'ml', 'ai', 'predictive modeling', 'data science', 'big data', 'security clearance', 'clearance', 'secret clearance']"
218,Data Scientist,3.8,Evidera,Bethesda,Bethesda,'501-1000,2013.0,Subsidiary or Business Segment,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,71000.0,123000.0,"['sas', 'excel', 'ai', 'statistics']"
219,Data Scientist,3.3,BWX Technologies,Oak Ridge,Lynchburg,'5001-10000,1850.0,Company - Public,Aerospace & Defense,Aerospace & Defense,500 million-1 billion,71000.0,123000.0,"['python', 'c++', 'tensorflow', 'pytorch', 'keras', 'opencv', 'ai', 'deep learning', 'mathematics', 'computer science', 'data science', 'security clearance', 'clearance']"
220,Data Analyst,3.8,Brighthouse Financial,Charlotte,Charlotte,'1001-5000,2017.0,Company - Public,Insurance Carriers,Insurance,,71000.0,123000.0,"['scala', 'ai']"
221,Data Scientist,3.5,Argo Group US,New York,Hamilton,'1001-5000,1948.0,Company - Public,Insurance Carriers,Insurance,1-2 billion,71000.0,123000.0,"['python', 'sql', 'aws', 'spark', 'hadoop', 'hive', 'tensorflow', 'pytorch', 'scikit-learn', 'keras', 'ml', 'ai', 'nlp', 'statistics', 'mathematics', 'computer science', 'data science', 'regression']"
222,Data Scientist,3.3,II-VI Incorporated,Champaign,Saxonburg,'10000+,1971.0,Company - Public,Telecommunications Manufacturing,Telecommunications,1-2 billion,71000.0,123000.0,"['sql', 'sas', 'c++', 'excel', 'ai', 'statistics', 'mathematics', 'computer science']"
223,Data Scientist,4.6,Surya Systems,San Francisco,Bristol,'1-50,,Company - Private,Computer Hardware & Software,Information Technology,Less than 1 million,71000.0,123000.0,"['python', 'sql', 'hadoop', 'tableau', 'ai', 'data science', 'data mining']"
224,Data Scientist,3.8,PayPal,Texas,San Jose,'10000+,1998.0,Company - Public,Internet,Information Technology,10+ billion,71000.0,123000.0,"['python', 'java', 'scala', 'spark', 'hadoop', 'hive', 'excel', 'machine learning', 'ml', 'ai', 'artificial intelligence', 'mathematics', 'computer science', 'data science', 'big data']"
225,Data Analyst,3.9,Life360,San Francisco,San Francisco,'51-200,2008.0,Company - Public,Internet,Information Technology,,71000.0,123000.0,"['python', 'sql', 'tableau', 'ai', 'statistics']"
226,Data Scientist,3.9,Predictive Research Inc,Plano,Bangalore,'1-50,,Company - Private,Consulting,Business Services,,71000.0,123000.0,"['python', 'tensorflow']"
227,Data Scientist,4.7,Oversight Systems,Atlanta,Atlanta,'51-200,2003.0,Company - Private,Computer Hardware & Software,Information Technology,25-50 million,90000.0,124000.0,"['python', 'sql', 'linux', 'etl', 'cloud', 'excel', 'pytorch', 'scikit-learn', 'keras', 'machine learning', 'ai', 'artificial intelligence', 'deep learning', 'predictive modeling', 'data science']"
228,Data Scientist,4.8,Acuity Insurance,Sheboygan,Sheboygan,'1001-5000,1925.0,Company - Private,Insurance Carriers,Insurance,1-2 billion,90000.0,124000.0,"['sas', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data mining']"
229,Data Engineer,3.1,1010data,New York,New York,'201-500,2000.0,Company - Private,Computer Hardware & Software,Information Technology,50-100 million,90000.0,124000.0,"['python', 'sql', 'scala', 'aws', 'nosql', 'etl', 'kubernetes', 'docker', 'mapreduce', 'cloud', 'excel', 'ai', 'data science']"
230,Data Scientist,3.6,Gigya,Palo Alto,Mountain View,'201-500,2006.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,10-25 million,90000.0,124000.0,"['machine learning', 'ml', 'ai', 'mathematics', 'computer science', 'data science', 'big data']"
231,Data Scientist,5.0,Genesis Research,Hoboken,Hoboken,'1-50,2009.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,90000.0,124000.0,"['python', 'sql', 'ai', 'statistics', 'mathematics', 'regression']"
232,Data Scientist,3.7,Sanofi,Cambridge,Paris,'10000+,1973.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,10+ billion,90000.0,124000.0,"['python', 'sql', 'linux', 'nosql', 'cloud', 'tableau', 'machine learning', 'ml', 'ai', 'deep learning', 'nlp', 'statistics', 'computer science', 'big data']"
233,Data Scientist,3.7,XPO Logistics,Lebanon,Greenwich,'10000+,2011.0,Company - Public,Transportation Management,Transportation & Logistics,10+ billion,90000.0,124000.0,"['python', 'sql', 'nosql', 'cloud', 'machine learning', 'ai', 'deep learning', 'computer science', 'data science', 'regression', 'data mining', 'big data']"
234,Data Scientist,3.9,Trace Data,Oakland,Santa Ana,'51-200,2000.0,Company - Private,Insurance Carriers,Insurance,10-25 million,90000.0,124000.0,"['python', 'sql', 'sas', 'spark', 'hive', 'mapreduce', 'tensorflow', 'pytorch', 'scikit-learn', 'machine learning', 'ml', 'ai', 'deep learning', 'nlp', 'statistics', 'computer science', 'data mining']"
235,Data Scientist,4.3,Descript,San Francisco,Houston,'1-50,,Company - Private,,,Less than 1 million,90000.0,124000.0,"['python', 'ai', 'statistics', 'mathematics', 'computer science']"
236,Data Scientist,4.2,Rincon Research Corporation,Melbourne,Tucson,'201-500,1983.0,Company - Private,Aerospace & Defense,Aerospace & Defense,50-100 million,90000.0,124000.0,"['python', 'java', 'c++', 'linux', 'matlab', 'cloud', 'machine learning', 'ai', 'computer science', 'security clearance', 'clearance', 'ts/sci']"
237,Data Scientist,3.7,MassMutual,Boston,Springfield,'5001-10000,1851.0,Company - Private,Insurance Carriers,Insurance,10+ billion,90000.0,124000.0,"['python', 'sql', 'java', 'javascript', 'html', 'css', 'aws', 'spark', 'hadoop', 'nosql', 'scikit-learn', 'machine learning', 'ml', 'ai', 'natural language processing', 'statistics', 'mathematics', 'computer science', 'data science']"
238,Data Scientist,4.0,Better Hire,Birmingham,Birmingham,'1-50,,Company - Private,,,,90000.0,124000.0,"['sql', 'predictive modeling', 'statistics', 'data mining']"
239,Data Scientist,3.3,Parker Hannifin,Cleveland,Cleveland,'10000+,1917.0,Company - Public,Industrial Manufacturing,Manufacturing,10+ billion,90000.0,124000.0,"['python', 'sql', 'java', 'sas', 'excel', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'data science', 'data mining']"
240,Data Scientist,4.1,Gallup,New York,Washington,'1001-5000,1935.0,Company - Private,Consulting,Business Services,,90000.0,124000.0,"['python', 'excel', 'machine learning', 'ai', 'statistics', 'mathematics', 'computer science']"
241,Data Scientist,3.3,Insider Inc,New York,New York,'201-500,2007.0,Company - Private,News Outlet,Media,50-100 million,90000.0,124000.0,"['python', 'excel', 'ai', 'predictive modeling', 'statistics', 'data science', 'data mining']"
242,Data Scientist,3.9,Rapid Value Solutions,San Francisco,Pleasanton,'201-500,2009.0,Company - Private,IT Services,Information Technology,,90000.0,124000.0,"['python', 'sql', 'aws', 'etl', 'cloud', 'pytorch', 'machine learning', 'ai', 'deep learning', 'natural language processing', 'statistics', 'mathematics', 'data science', 'clustering']"
243,Data Scientist,3.1,Battelle,Norwell,Columbus,'10000+,1929.0,Nonprofit Organization,Research & Development,Business Services,5-10 billion,90000.0,124000.0,"['sql', 'java', 'javascript', 'matlab', 'etl', 'excel', 'ai', 'statistics', 'computer science']"
244,Data Scientist,4.2,Ntrepid,Herndon,Herndon,'201-500,2010.0,Company - Private,IT Services,Information Technology,50-100 million,90000.0,124000.0,"['python', 'sql', 'java', 'c++', 'javascript', 'matlab', 'julia', 'nosql', 'machine learning', 'ai', 'security clearance', 'clearance']"
245,Data Scientist,5.0,"The Drive Media, Inc.",New York,,'Unknown,,Unknown,,,,90000.0,124000.0,"['python', 'sql', 'java', 'javascript', 'excel', 'tensorflow', 'nltk', 'machine learning', 'ai', 'nlp', 'natural language processing', 'data science', 'clustering']"
246,Data Engineer,2.9,Affinity Solutions,San Jose,New York,'51-200,1998.0,Company - Private,Advertising & Marketing,Business Services,,90000.0,124000.0,"['python', 'sql', 'linux', 'spark', 'cloud', 'tableau', 'ai', 'statistics', 'mathematics', 'computer science', 'big data']"
247,Machine Learning Engineer,4.7,Sage Intacct,San Francisco,San Jose,'501-1000,1999.0,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,,90000.0,124000.0,"['python', 'sql', 'cloud', 'scikit-learn', 'machine learning', 'ai', 'artificial intelligence', 'statistics', 'computer science', 'regression']"
248,Data Scientist,3.6,Constant Contact,Waltham,Waltham,'Unknown,1995.0,Subsidiary or Business Segment,Advertising & Marketing,Business Services,,90000.0,124000.0,"['python', 'scala', 'aws', 'spark', 'hadoop', 'cloud', 'excel', 'machine learning', 'ai', 'data science', 'regression', 'clustering', 'data mining', 'big data']"
249,Data Scientist,3.8,MIT Lincoln Laboratory,Lexington,Lexington,'1001-5000,1951.0,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,91000.0,150000.0,"['python', 'sql', 'sas', 'matlab', 'spark', 'hadoop', 'hive', 'machine learning', 'ai', 'predictive modeling', 'statistics', 'mathematics', 'computer science', 'data mining', 'big data', 'security clearance', 'clearance']"
250,Data Scientist,3.3,Puget Sound Energy,Bothell,Bellevue,'1001-5000,1999.0,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",2-5 billion,91000.0,150000.0,"['sql', 'spark', 'hadoop', 'cloud', 'excel', 'machine learning', 'ai', 'computer science', 'data science']"
251,Data Scientist,3.7,Pacific Northwest National Laboratory,Richland,Richland,'1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",500 million-1 billion,91000.0,150000.0,"['machine learning', 'ai', 'statistics', 'mathematics', 'data science', 'ts/sci']"
252,Data Scientist,3.8,Analysis Group,Boston,Boston,'1001-5000,1981.0,Private Practice / Firm,Consulting,Business Services,100-500 million,91000.0,150000.0,"['python', 'sql', 'java', 'c++', 'linux', 'aws', 'cloud', 'excel', 'ai', 'natural language processing', 'statistics', 'computer science', 'data science']"
253,Data Scientist,3.2,US Pharmacopeia,Rockville,Rockville,'1001-5000,1820.0,Nonprofit Organization,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,100-500 million,91000.0,150000.0,"['python', 'sql', 'tableau', 'excel', 'ai', 'data science']"
